name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,cidade
"Fortaleza, CE, Brasil",2024-06-02,30.0,26.0,27.9,35.1,26.0,31.3,24.1,80.0,0.0,0,0.0,rain,0,0,44.6,37.1,129.5,1013.7,69.4,10.9,171.3,14.7,6,30,2024-06-02T05:34:50,2024-06-02T17:29:50,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-03,31.0,25.0,28.2,36.6,25.0,31.2,23.2,75.1,0.0,0,0.0,,0,0,40.7,25.9,130.3,1014.0,58.9,10.9,208.7,18.0,7,10,2024-06-03T05:35:02,2024-06-03T17:29:58,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-04,31.0,25.0,27.6,36.6,25.0,30.5,24.1,81.9,1.0,100,4.17,rain,0,0,37.4,24.1,131.0,1013.0,55.4,10.5,214.4,18.5,7,30,2024-06-04T05:35:14,2024-06-04T17:30:06,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-05,31.0,25.0,27.8,37.8,25.0,31.0,24.3,82.2,2.0,100,4.17,rain,0,0,43.6,31.7,125.7,1012.8,64.0,10.4,219.0,18.9,8,30,2024-06-05T05:35:27,2024-06-05T17:30:15,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-06,31.0,26.0,28.2,36.6,26.0,31.5,23.8,77.8,1.0,100,4.17,rain,0,0,38.5,27.7,128.0,1013.0,59.8,11.0,101.2,8.5,4,30,2024-06-06T05:35:39,2024-06-06T17:30:25,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-07,31.0,27.0,28.5,35.5,29.6,32.1,23.2,73.1,0.0,0,0.0,rain,0,0,39.2,29.5,137.3,1014.2,56.6,11.0,230.7,19.7,8,30,2024-06-07T05:35:52,2024-06-07T17:30:35,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-08,31.0,25.8,28.1,36.6,25.8,31.3,24.2,80.1,0.0,0,0.0,rain,0,0,40.7,33.5,128.0,1014.3,40.3,10.9,215.7,18.6,7,30,2024-06-08T05:36:05,2024-06-08T17:30:45,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-09,30.8,25.0,27.9,37.2,25.0,31.4,24.2,80.9,5.0,100,4.17,rain,0,0,45.4,25.9,134.0,1013.1,63.3,10.9,205.4,17.7,7,30,2024-06-09T05:36:19,2024-06-09T17:30:55,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-10,31.0,24.0,27.5,35.5,24.0,29.8,22.9,76.5,0.0,0,0.0,rain,0,0,40.3,27.7,133.4,1013.0,47.7,11.0,208.2,18.0,8,30,2024-06-10T05:36:32,2024-06-10T17:31:06,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-11,31.0,24.0,27.5,35.2,24.0,29.5,22.3,74.1,0.0,0,0.0,,0,0,41.4,22.3,139.8,1013.3,35.6,11.0,254.3,22.0,9,10,2024-06-11T05:36:45,2024-06-11T17:31:17,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-12,31.0,25.0,27.9,36.7,25.0,30.9,23.5,77.3,0.0,0,0.0,rain,0,0,48.6,25.9,133.1,1012.6,48.5,11.0,213.9,18.3,7,30,2024-06-12T05:36:59,2024-06-12T17:31:29,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-13,31.0,25.0,28.1,34.6,25.0,30.4,21.9,69.5,0.0,0,0.0,rain,0,0,41.0,37.1,129.5,1012.8,57.2,11.0,231.6,20.0,8,30,2024-06-13T05:37:12,2024-06-13T17:31:40,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-14,29.1,23.0,26.3,33.6,23.0,27.7,23.5,85.1,25.0,100,12.5,rain,0,0,47.2,25.9,141.4,1014.0,63.1,9.9,185.3,15.8,8,30,2024-06-14T05:37:26,2024-06-14T17:31:52,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-15,31.0,25.0,27.3,34.6,25.0,29.2,23.1,78.9,0.0,0,0.0,rain,0,0,42.1,27.7,137.3,1013.5,38.3,10.9,230.5,19.7,8,10,2024-06-15T05:37:39,2024-06-15T17:32:05,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-16,30.0,24.0,26.3,33.3,24.0,27.4,22.4,79.7,0.0,0,0.0,rain,0,0,46.1,31.7,153.9,1012.7,53.7,10.9,206.6,17.9,8,10,2024-06-16T05:37:53,2024-06-16T17:32:17,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-17,30.0,24.0,26.8,32.6,24.0,28.5,22.3,77.3,0.0,0,0.0,rain,0,0,44.6,27.7,132.8,1011.7,57.4,11.0,184.9,15.9,6,10,2024-06-17T05:38:06,2024-06-17T17:32:30,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
"Fortaleza, CE, Brasil",2024-06-18,30.0,25.0,27.5,34.2,25.0,29.8,22.7,75.7,0.0,0,0.0,rain,0,0,44.6,37.1,124.5,1011.8,40.2,11.0,217.4,18.8,8,10,2024-06-18T05:38:20,2024-06-18T17:32:42,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999",fortaleza
