name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Aquiraz, CE, Brasil",2024-06-03,31.0,25.0,28.2,36.5,25.0,31.2,23.2,75.1,0.0,0,0.0,rain,0,0,38.5,25.9,130.3,1014.0,56.5,10.8,212.8,18.2,7,30,2024-06-03T05:34:38,2024-06-03T17:28:58,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-04,31.0,25.0,27.6,36.5,25.0,30.5,24.1,81.9,1.0,100,4.17,rain,0,0,36.0,24.1,131.1,1013.0,55.2,10.5,211.5,18.2,7,30,2024-06-04T05:34:50,2024-06-04T17:29:06,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-05,31.0,25.0,27.8,37.7,25.0,31.0,24.3,82.2,2.0,100,4.17,rain,0,0,43.6,31.7,125.8,1012.8,63.6,10.3,222.9,19.2,8,30,2024-06-05T05:35:03,2024-06-05T17:29:15,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-06,31.0,26.0,28.2,36.5,26.0,31.5,23.8,77.8,1.0,100,4.17,rain,0,0,35.3,27.7,128.0,1013.0,58.4,10.9,103.3,8.8,3,30,2024-06-06T05:35:15,2024-06-06T17:29:24,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-07,31.0,27.0,28.5,35.5,29.6,32.0,23.2,73.1,0.0,0,0.0,rain,0,0,37.8,29.5,137.3,1014.2,55.0,10.9,238.8,20.6,9,30,2024-06-07T05:35:28,2024-06-07T17:29:34,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-08,31.0,25.8,28.1,36.5,25.8,31.3,24.2,80.1,0.0,0,0.0,rain,0,0,38.9,33.5,128.0,1014.3,41.0,10.8,207.7,17.9,7,30,2024-06-08T05:35:42,2024-06-08T17:29:44,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-09,30.8,25.0,27.9,37.2,25.0,31.4,24.2,80.9,5.0,100,4.17,rain,0,0,45.0,25.9,134.0,1013.1,63.2,10.8,203.1,17.5,7,30,2024-06-09T05:35:55,2024-06-09T17:29:55,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-10,31.0,24.0,27.5,35.5,24.0,29.8,22.9,76.5,0.0,0,0.0,rain,0,0,37.1,27.7,133.4,1013.0,46.6,10.9,206.2,17.7,8,30,2024-06-10T05:36:08,2024-06-10T17:30:05,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-11,31.0,24.0,27.5,35.1,24.0,29.5,22.3,74.1,0.0,0,0.0,rain,0,0,38.9,22.3,139.8,1013.3,35.5,10.9,250.5,21.6,9,30,2024-06-11T05:36:22,2024-06-11T17:30:16,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-12,31.0,25.0,27.9,36.7,25.0,30.9,23.5,77.3,0.0,0,0.0,rain,0,0,46.8,25.9,133.1,1012.6,48.4,10.9,210.9,18.2,7,30,2024-06-12T05:36:35,2024-06-12T17:30:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-13,31.0,25.0,28.1,34.6,25.0,30.4,21.9,69.5,0.0,0,0.0,,0,0,41.4,37.1,129.4,1012.8,53.7,10.9,233.8,19.9,8,30,2024-06-13T05:36:49,2024-06-13T17:30:40,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-14,29.1,23.0,26.3,33.6,23.0,27.7,23.5,85.1,25.0,100,12.5,rain,0,0,47.2,25.9,141.3,1014.0,62.9,9.9,188.9,16.2,7,30,2024-06-14T05:37:02,2024-06-14T17:30:51,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-15,31.0,25.0,27.3,34.6,25.0,29.2,23.1,78.9,0.0,0,0.0,rain,0,0,43.9,27.7,137.3,1013.5,41.5,10.8,221.6,19.0,8,30,2024-06-15T05:37:16,2024-06-15T17:31:04,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-16,30.0,24.0,26.3,33.3,24.0,27.4,22.3,79.7,0.0,0,0.0,rain,0,0,45.7,31.7,153.9,1012.7,55.0,10.8,185.2,16.0,7,10,2024-06-16T05:37:29,2024-06-16T17:31:16,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-17,30.0,24.0,26.8,32.6,24.0,28.5,22.3,77.3,0.0,0,0.0,rain,0,0,43.2,27.7,132.9,1011.7,57.1,10.9,165.7,14.3,6,10,2024-06-17T05:37:43,2024-06-17T17:31:29,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-18,30.0,25.0,27.5,34.1,25.0,29.8,22.7,75.7,0.0,0,0.0,rain,0,0,43.6,37.1,124.5,1011.8,41.3,10.9,227.9,19.7,8,10,2024-06-18T05:37:56,2024-06-18T17:31:41,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-19,30.0,25.0,27.2,34.1,25.0,29.1,22.8,77.6,5.0,100,4.17,rain,0,0,44.3,35.3,128.1,1012.5,63.9,10.5,199.8,16.9,7,10,2024-06-19T05:38:10,2024-06-19T17:31:54,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-20,30.0,24.0,26.9,34.1,24.0,29.0,23.3,81.2,4.8,100,8.33,rain,0,0,50.0,35.3,132.0,1012.0,53.8,10.7,210.8,18.0,7,10,2024-06-20T05:38:23,2024-06-20T17:32:07,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-21,30.0,24.0,27.3,33.3,24.0,29.5,22.6,75.7,0.0,0,0.0,rain,0,0,44.6,35.3,127.2,1012.1,32.0,10.9,217.5,18.7,7,10,2024-06-21T05:38:36,2024-06-21T17:32:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-22,30.1,25.0,27.3,35.3,25.0,29.3,23.6,80.8,2.0,100,4.17,rain,0,0,46.4,24.1,141.8,1012.1,65.9,10.6,197.8,17.1,7,10,2024-06-22T05:38:49,2024-06-22T17:32:34,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-23,29.1,24.0,26.4,33.6,24.0,27.8,23.4,84.2,23.0,100,8.33,rain,0,0,45.0,27.7,141.4,1012.9,66.0,10.4,137.1,11.8,5,10,2024-06-23T05:39:02,2024-06-23T17:32:47,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-24,31.0,24.0,26.8,34.6,24.0,28.4,22.9,80.0,0.8,100,4.17,rain,0,0,40.0,35.3,131.4,1013.2,49.3,11.1,236.3,20.2,8,10,2024-06-24T05:39:14,2024-06-24T17:33:00,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-25,30.0,25.0,27.5,34.0,25.0,30.0,23.1,77.7,0.0,0,0.0,,0,0,38.5,29.5,124.6,1013.2,47.8,10.9,246.8,21.3,8,10,2024-06-25T05:39:26,2024-06-25T17:33:13,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-06-26,30.1,25.0,27.6,35.1,25.0,30.3,23.2,77.1,0.0,0,0.0,rain,0,0,36.4,26.6,119.5,1013.4,40.9,10.9,248.9,21.5,9,10,2024-06-26T05:39:38,2024-06-26T17:33:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
