name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Maracanaú, CE, Brasil",2024-06-03,31.0,25.0,28.2,36.5,25.0,31.2,23.2,75.1,0.0,0,0.0,rain,0,0,42.5,25.9,130.3,1014.0,54.4,10.8,208.6,18.0,7,30,2024-06-03T05:35:38,2024-06-03T17:30:02,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-04,31.0,25.0,27.6,36.5,25.0,30.5,24.1,82.0,1.0,100,4.17,rain,0,0,40.0,24.1,130.7,1013.1,55.8,10.5,211.2,18.0,7,30,2024-06-04T05:35:50,2024-06-04T17:30:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-05,31.0,25.0,27.8,37.7,25.0,31.0,24.3,82.2,2.0,100,4.17,rain,0,0,42.1,31.7,125.4,1012.8,65.7,10.5,201.0,17.3,7,30,2024-06-05T05:36:03,2024-06-05T17:30:20,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-06,31.0,26.0,28.2,36.5,26.0,31.5,23.8,77.9,1.0,100,4.17,rain,0,0,38.2,27.7,128.2,1013.0,60.4,11.0,132.9,11.5,5,30,2024-06-06T05:36:15,2024-06-06T17:30:29,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-07,31.0,27.0,28.5,35.5,29.6,32.1,23.2,73.3,0.0,0,0.0,rain,0,0,42.5,29.5,137.1,1014.2,54.9,11.0,221.9,19.2,9,30,2024-06-07T05:36:28,2024-06-07T17:30:39,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-08,31.0,25.8,28.1,36.5,25.8,31.3,24.2,80.1,0.0,0,0.0,rain,0,0,42.1,33.5,128.0,1014.3,43.6,10.8,204.0,17.6,7,30,2024-06-08T05:36:41,2024-06-08T17:30:49,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-09,30.8,25.0,27.9,37.2,25.0,31.4,24.2,80.9,5.0,100,4.17,rain,0,0,45.4,25.9,134.0,1013.1,63.3,10.8,210.7,18.0,8,30,2024-06-09T05:36:55,2024-06-09T17:30:59,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-10,31.0,24.0,27.5,35.5,24.0,29.8,22.9,76.5,0.0,0,0.0,,0,0,45.4,27.7,133.1,1013.0,43.4,11.0,204.2,17.5,8,10,2024-06-10T05:37:08,2024-06-10T17:31:10,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-11,31.0,24.0,27.5,35.9,24.0,29.6,22.4,74.3,0.0,0,0.0,,0,0,41.4,22.3,139.9,1013.3,35.5,11.0,249.0,21.5,9,30,2024-06-11T05:37:22,2024-06-11T17:31:21,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-12,31.0,25.0,27.9,36.7,25.0,30.9,23.5,77.3,0.0,0,0.0,rain,0,0,50.4,25.9,133.6,1012.6,47.3,11.0,205.4,17.7,7,10,2024-06-12T05:37:35,2024-06-12T17:31:33,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-13,31.0,25.0,28.1,34.6,25.0,30.5,21.9,69.5,0.0,0,0.0,,0,0,42.1,37.1,129.6,1012.8,57.0,11.0,245.5,21.0,8,10,2024-06-13T05:37:49,2024-06-13T17:31:44,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-14,29.1,23.0,26.3,33.6,23.0,27.7,23.5,85.2,25.0,100,12.5,rain,0,0,51.5,25.9,141.5,1014.0,64.0,9.8,153.0,13.2,7,10,2024-06-14T05:38:02,2024-06-14T17:31:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-15,31.0,25.0,27.3,34.6,25.0,29.2,23.1,78.9,0.0,0,0.0,,0,0,42.1,27.7,137.3,1013.5,46.6,10.8,208.4,18.0,7,10,2024-06-15T05:38:16,2024-06-15T17:32:08,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-16,30.0,24.0,26.3,33.3,24.0,27.4,22.3,79.7,0.0,0,0.0,rain,0,0,49.3,31.7,153.9,1012.7,55.4,10.8,178.0,15.4,7,10,2024-06-16T05:38:29,2024-06-16T17:32:21,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-17,30.0,24.0,26.8,33.0,24.0,28.5,22.3,77.4,0.0,0,0.0,,0,0,47.9,27.7,132.6,1011.7,54.4,11.0,181.2,15.6,7,10,2024-06-17T05:38:43,2024-06-17T17:32:33,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-18,30.0,25.0,27.5,34.1,25.0,29.8,22.7,75.7,0.0,0,0.0,rain,0,0,44.6,37.1,124.4,1011.8,40.5,11.0,223.3,19.2,8,10,2024-06-18T05:38:56,2024-06-18T17:32:46,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-19,30.0,25.0,27.2,34.1,25.0,29.1,22.8,77.8,5.0,100,4.17,rain,0,0,46.8,35.3,127.6,1012.5,64.2,10.5,186.6,16.1,7,10,2024-06-19T05:39:10,2024-06-19T17:32:59,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-20,30.0,24.0,26.9,34.1,24.0,29.1,23.3,81.2,4.8,100,8.33,rain,0,0,50.0,35.3,131.6,1012.0,54.0,10.8,193.8,16.5,7,10,2024-06-20T05:39:23,2024-06-20T17:33:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-21,30.0,24.0,27.3,33.4,24.0,29.5,22.6,75.8,0.0,0,0.0,rain,0,0,49.7,35.3,126.7,1012.1,33.9,11.0,210.2,18.0,7,10,2024-06-21T05:39:36,2024-06-21T17:33:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-22,30.1,25.0,27.3,35.3,25.0,29.3,23.6,80.8,2.0,100,4.17,rain,0,0,46.4,24.1,141.8,1012.1,65.9,10.6,180.6,15.7,7,10,2024-06-22T05:39:49,2024-06-22T17:33:38,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-23,29.1,24.0,26.4,33.6,24.0,27.8,23.4,84.2,23.0,100,8.33,rain,0,0,47.9,27.7,141.4,1012.9,66.0,10.4,125.3,10.8,5,30,2024-06-23T05:40:01,2024-06-23T17:33:51,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-24,31.0,24.0,26.8,34.6,24.0,28.4,22.9,80.0,0.8,100,4.17,rain,0,0,44.6,35.3,131.0,1013.2,49.5,11.2,238.2,20.6,8,10,2024-06-24T05:40:14,2024-06-24T17:34:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-25,30.0,25.0,27.5,34.8,25.0,30.0,23.2,77.8,0.0,0,0.0,,0,0,41.8,29.5,123.9,1013.2,48.9,11.0,246.6,21.3,8,10,2024-06-25T05:40:26,2024-06-25T17:34:18,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-26,30.2,25.0,27.6,36.1,25.0,30.4,23.2,77.3,0.0,0,0.0,rain,0,0,37.4,25.9,118.9,1013.4,40.6,11.0,245.5,21.2,9,30,2024-06-26T05:40:38,2024-06-26T17:34:31,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-27,30.0,25.0,27.6,34.1,25.0,29.9,23.2,77.6,0.0,0,0.0,,0,0,38.5,31.7,119.7,1012.7,36.0,11.0,229.7,19.8,7,10,2024-06-27T05:40:50,2024-06-27T17:34:44,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-28,30.0,25.0,27.4,34.1,25.0,30.0,23.2,78.2,0.0,0,0.0,rain,0,0,39.2,31.7,116.8,1012.4,43.9,10.9,252.7,21.9,9,10,2024-06-28T05:41:01,2024-06-28T17:34:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-29,31.0,25.0,27.2,34.6,25.0,28.7,22.4,75.9,0.0,0,0.0,,0,0,37.1,27.7,123.4,1013.1,39.7,10.8,255.1,22.0,9,10,2024-06-29T05:41:12,2024-06-29T17:35:11,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-06-30,30.0,25.0,27.0,32.7,25.0,28.5,22.6,77.6,0.0,0,0.0,rain,0,0,37.1,31.7,122.6,1013.2,45.5,10.8,258.9,22.3,9,10,2024-06-30T05:41:23,2024-06-30T17:35:23,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-01,30.0,25.0,27.5,34.1,25.0,29.8,23.0,77.1,0.0,0,0.0,,0,0,38.5,33.5,116.7,1013.9,53.8,11.0,253.9,22.0,9,10,2024-07-01T05:41:33,2024-07-01T17:35:36,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-02,30.0,25.0,27.6,32.7,25.0,29.9,22.7,75.4,0.0,0,0.0,,0,0,47.9,37.1,115.7,1014.0,63.5,10.9,205.9,17.7,8,10,2024-07-02T05:41:43,2024-07-02T17:35:49,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-03,29.0,25.0,26.9,32.7,25.0,28.8,23.3,81.0,4.0,100,4.17,rain,0,0,47.5,25.9,128.9,1012.5,81.2,10.7,124.2,10.6,5,10,2024-07-03T05:41:52,2024-07-03T17:36:01,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-04,30.0,25.0,27.4,33.3,25.0,29.4,21.9,72.6,0.0,0,0.0,,0,0,48.6,35.3,118.8,1011.8,78.5,10.8,231.1,20.1,9,10,2024-07-04T05:42:02,2024-07-04T17:36:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-05,30.0,25.0,27.2,32.6,25.0,28.5,21.7,72.6,0.0,0,0.0,,0,0,42.8,31.7,128.2,1013.8,41.6,10.8,225.5,19.5,9,10,2024-07-05T05:42:10,2024-07-05T17:36:25,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-06,31.0,24.9,27.2,35.5,24.9,29.2,23.1,79.1,0.3,100,4.17,rain,0,0,41.0,22.3,116.5,1014.6,56.4,10.8,221.3,19.0,8,10,2024-07-06T05:42:18,2024-07-06T17:36:37,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-07,30.0,25.0,27.2,34.1,25.0,29.4,23.5,80.6,0.0,0,0.0,rain,0,0,43.2,38.9,132.4,1013.5,73.0,10.8,198.3,17.2,8,30,2024-07-07T05:42:26,2024-07-07T17:36:49,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-08,29.0,24.0,26.9,32.0,24.0,28.1,22.2,76.1,3.0,100,4.17,rain,0,0,45.4,29.5,123.5,1013.0,60.9,10.7,245.5,21.3,8,10,2024-07-08T05:42:33,2024-07-08T17:37:00,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-09,31.0,24.0,27.2,34.6,24.0,29.0,22.2,74.9,0.0,0,0.0,,0,0,42.5,29.5,122.5,1012.8,42.2,10.8,210.8,18.4,7,10,2024-07-09T05:42:40,2024-07-09T17:37:11,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-10,29.0,25.0,27.0,33.6,25.0,29.3,23.5,81.3,3.1,100,8.33,rain,0,0,45.7,31.7,115.0,1013.0,75.6,10.4,205.2,17.8,7,10,2024-07-10T05:42:46,2024-07-10T17:37:21,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-11,30.0,24.0,27.0,32.6,24.0,28.5,21.7,74.0,2.9,100,4.17,rain,0,0,45.4,31.7,122.0,1014.1,46.6,10.7,263.2,22.7,9,10,2024-07-11T05:42:51,2024-07-11T17:37:32,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-07-12,30.0,24.0,27.3,34.1,24.0,29.6,22.7,76.4,0.0,0,0.0,rain,0,0,47.2,35.3,125.2,1014.6,54.2,10.6,188.1,16.1,6,10,2024-07-12T05:42:56,2024-07-12T17:37:42,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
